design_id,sample,condition,replicate
in_vitro_lb_to_input,A3,in_vitro_lb,1
in_vitro_lb_to_input,C3,in_vitro_lb,2
in_vitro_lb_to_input,G2,in_vitro_lb,3
in_vitro_lb_to_input,E2,input,1
in_vitro_lb_to_input,F2,input,2
in_vivo_low_zn_wt_to_input,A5,in_vivo_low_zn_wt,1
in_vivo_low_zn_wt_to_input,G4,in_vivo_low_zn_wt,2
in_vivo_low_zn_wt_to_input,H4,in_vivo_low_zn_wt,3
in_vivo_low_zn_wt_to_input,E2,input,1
in_vivo_low_zn_wt_to_input,F2,input,2
in_vitro_lb_cp_to_input,B3,in_vitro_lb_cp,1
in_vitro_lb_cp_to_input,D3,in_vitro_lb_cp,2
in_vitro_lb_cp_to_input,H2,in_vitro_lb_cp,3
in_vitro_lb_cp_to_input,E2,input,1
in_vitro_lb_cp_to_input,F2,input,2
in_vivo_ctrl_zn_wt_to_input,B5,in_vivo_ctrl_zn_wt,1
in_vivo_ctrl_zn_wt_to_input,C5,in_vivo_ctrl_zn_wt,2
in_vivo_ctrl_zn_wt_to_input,D5,in_vivo_ctrl_zn_wt,3
in_vivo_ctrl_zn_wt_to_input,E2,input,1
in_vivo_ctrl_zn_wt_to_input,F2,input,2
in_vivo_low_zn_wt_to_in_vivo_ctrl_zn_wt,A5,in_vivo_low_zn_wt,1
in_vivo_low_zn_wt_to_in_vivo_ctrl_zn_wt,G4,in_vivo_low_zn_wt,2
in_vivo_low_zn_wt_to_in_vivo_ctrl_zn_wt,H4,in_vivo_low_zn_wt,3
in_vivo_low_zn_wt_to_in_vivo_ctrl_zn_wt,B5,in_vivo_ctrl_zn_wt,1
in_vivo_low_zn_wt_to_in_vivo_ctrl_zn_wt,C5,in_vivo_ctrl_zn_wt,2
in_vivo_low_zn_wt_to_in_vivo_ctrl_zn_wt,D5,in_vivo_ctrl_zn_wt,3